userId,rating,title,imdbId
1,4.0,Toy Story,114709
5,4.0,Toy Story,114709
7,4.5,Toy Story,114709
15,2.5,Toy Story,114709
17,4.5,Toy Story,114709
18,3.5,Toy Story,114709
19,4.0,Toy Story,114709
21,3.5,Toy Story,114709
27,3.0,Toy Story,114709
31,5.0,Toy Story,114709
32,3.0,Toy Story,114709
33,3.0,Toy Story,114709
40,5.0,Toy Story,114709
43,5.0,Toy Story,114709
44,3.0,Toy Story,114709
45,4.0,Toy Story,114709
46,5.0,Toy Story,114709
50,3.0,Toy Story,114709
54,3.0,Toy Story,114709
57,5.0,Toy Story,114709
63,5.0,Toy Story,114709
64,4.0,Toy Story,114709
66,4.0,Toy Story,114709
68,2.5,Toy Story,114709
71,5.0,Toy Story,114709
73,4.5,Toy Story,114709
76,0.5,Toy Story,114709
78,4.0,Toy Story,114709
82,2.5,Toy Story,114709
86,4.0,Toy Story,114709
89,3.0,Toy Story,114709
90,3.0,Toy Story,114709
91,4.0,Toy Story,114709
93,3.0,Toy Story,114709
96,5.0,Toy Story,114709
98,4.5,Toy Story,114709
103,4.0,Toy Story,114709
107,4.0,Toy Story,114709
112,3.0,Toy Story,114709
119,3.5,Toy Story,114709
121,4.0,Toy Story,114709
124,4.0,Toy Story,114709
130,3.0,Toy Story,114709
132,2.0,Toy Story,114709
134,3.0,Toy Story,114709
135,4.0,Toy Story,114709
137,4.0,Toy Story,114709
140,3.0,Toy Story,114709
141,4.0,Toy Story,114709
144,3.5,Toy Story,114709
145,5.0,Toy Story,114709
151,5.0,Toy Story,114709
153,2.0,Toy Story,114709
155,3.0,Toy Story,114709
156,4.0,Toy Story,114709
159,4.5,Toy Story,114709
160,4.0,Toy Story,114709
161,4.0,Toy Story,114709
166,5.0,Toy Story,114709
167,3.5,Toy Story,114709
169,4.5,Toy Story,114709
171,5.0,Toy Story,114709
177,5.0,Toy Story,114709
178,4.0,Toy Story,114709
179,4.0,Toy Story,114709
182,4.0,Toy Story,114709
185,4.0,Toy Story,114709
186,4.0,Toy Story,114709
191,4.0,Toy Story,114709
193,2.0,Toy Story,114709
200,3.5,Toy Story,114709
201,5.0,Toy Story,114709
202,4.0,Toy Story,114709
206,5.0,Toy Story,114709
213,3.5,Toy Story,114709
214,3.0,Toy Story,114709
216,3.0,Toy Story,114709
217,4.0,Toy Story,114709
219,3.5,Toy Story,114709
220,5.0,Toy Story,114709
223,3.5,Toy Story,114709
226,3.5,Toy Story,114709
229,5.0,Toy Story,114709
232,3.5,Toy Story,114709
233,3.0,Toy Story,114709
234,5.0,Toy Story,114709
239,4.0,Toy Story,114709
240,5.0,Toy Story,114709
247,5.0,Toy Story,114709
249,4.0,Toy Story,114709
252,4.5,Toy Story,114709
254,4.5,Toy Story,114709
263,4.0,Toy Story,114709
264,4.0,Toy Story,114709
266,2.0,Toy Story,114709
269,5.0,Toy Story,114709
270,5.0,Toy Story,114709
273,5.0,Toy Story,114709
274,4.0,Toy Story,114709
275,5.0,Toy Story,114709
276,4.0,Toy Story,114709
277,4.0,Toy Story,114709
279,3.0,Toy Story,114709
280,4.5,Toy Story,114709
282,4.5,Toy Story,114709
283,3.0,Toy Story,114709
288,4.5,Toy Story,114709
290,4.0,Toy Story,114709
291,4.0,Toy Story,114709
292,4.0,Toy Story,114709
293,3.0,Toy Story,114709
298,2.0,Toy Story,114709
304,5.0,Toy Story,114709
307,4.0,Toy Story,114709
314,3.0,Toy Story,114709
322,3.5,Toy Story,114709
323,3.5,Toy Story,114709
328,5.0,Toy Story,114709
330,4.0,Toy Story,114709
332,4.0,Toy Story,114709
334,3.5,Toy Story,114709
336,4.0,Toy Story,114709
337,4.0,Toy Story,114709
339,4.0,Toy Story,114709
341,5.0,Toy Story,114709
347,5.0,Toy Story,114709
350,4.0,Toy Story,114709
353,5.0,Toy Story,114709
357,5.0,Toy Story,114709
359,4.0,Toy Story,114709
364,5.0,Toy Story,114709
367,5.0,Toy Story,114709
372,3.0,Toy Story,114709
373,3.0,Toy Story,114709
378,4.5,Toy Story,114709
380,5.0,Toy Story,114709
381,3.5,Toy Story,114709
382,4.5,Toy Story,114709
385,4.0,Toy Story,114709
389,5.0,Toy Story,114709
391,3.0,Toy Story,114709
396,5.0,Toy Story,114709
399,4.0,Toy Story,114709
401,3.5,Toy Story,114709
411,5.0,Toy Story,114709
412,2.0,Toy Story,114709
414,4.0,Toy Story,114709
420,4.0,Toy Story,114709
422,4.0,Toy Story,114709
432,2.5,Toy Story,114709
434,4.0,Toy Story,114709
436,4.0,Toy Story,114709
438,4.5,Toy Story,114709
443,4.0,Toy Story,114709
448,5.0,Toy Story,114709
451,5.0,Toy Story,114709
453,5.0,Toy Story,114709
456,5.0,Toy Story,114709
460,4.5,Toy Story,114709
462,1.5,Toy Story,114709
468,4.0,Toy Story,114709
469,4.0,Toy Story,114709
470,4.0,Toy Story,114709
471,5.0,Toy Story,114709
474,4.0,Toy Story,114709
476,4.0,Toy Story,114709
477,4.0,Toy Story,114709
480,3.0,Toy Story,114709
483,4.0,Toy Story,114709
484,4.5,Toy Story,114709
488,4.5,Toy Story,114709
490,3.5,Toy Story,114709
492,4.0,Toy Story,114709
500,4.0,Toy Story,114709
504,4.0,Toy Story,114709
509,4.0,Toy Story,114709
514,4.0,Toy Story,114709
517,4.0,Toy Story,114709
522,3.0,Toy Story,114709
524,4.0,Toy Story,114709
525,4.0,Toy Story,114709
528,2.5,Toy Story,114709
529,3.0,Toy Story,114709
533,5.0,Toy Story,114709
534,4.0,Toy Story,114709
541,3.0,Toy Story,114709
544,3.0,Toy Story,114709
550,4.0,Toy Story,114709
555,4.0,Toy Story,114709
559,5.0,Toy Story,114709
560,3.0,Toy Story,114709
561,4.0,Toy Story,114709
562,4.5,Toy Story,114709
567,3.5,Toy Story,114709
570,4.0,Toy Story,114709
572,4.0,Toy Story,114709
573,5.0,Toy Story,114709
579,4.0,Toy Story,114709
580,3.0,Toy Story,114709
584,5.0,Toy Story,114709
587,5.0,Toy Story,114709
590,4.0,Toy Story,114709
596,4.0,Toy Story,114709
597,4.0,Toy Story,114709
599,3.0,Toy Story,114709
600,2.5,Toy Story,114709
601,4.0,Toy Story,114709
603,4.0,Toy Story,114709
604,3.0,Toy Story,114709
605,4.0,Toy Story,114709
606,2.5,Toy Story,114709
607,4.0,Toy Story,114709
608,2.5,Toy Story,114709
609,3.0,Toy Story,114709
610,5.0,Toy Story,114709
1,4.0,Grumpier Old Men,113228
6,5.0,Grumpier Old Men,113228
19,3.0,Grumpier Old Men,113228
32,3.0,Grumpier Old Men,113228
42,4.0,Grumpier Old Men,113228
43,5.0,Grumpier Old Men,113228
44,3.0,Grumpier Old Men,113228
51,4.0,Grumpier Old Men,113228
58,3.0,Grumpier Old Men,113228
64,3.5,Grumpier Old Men,113228
68,2.0,Grumpier Old Men,113228
91,3.0,Grumpier Old Men,113228
100,3.5,Grumpier Old Men,113228
102,5.0,Grumpier Old Men,113228
